COUNT;Geo Local Area;Geom
1;Sunset;"{""type"": ""Point"", ""coordinates"": [-123.090425526949, 49.2238602003454]}"
4;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.171645733057, 49.2638649648983]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.10995950883, 49.2843178408992]}"
1;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.096214504653, 49.281566911093]}"
6;West End;"{""type"": ""Point"", ""coordinates"": [-123.133427569368, 49.2813724907459]}"
3;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.138938800841, 49.2647968144168]}"
5;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.138976279727, 49.2637628603018]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.109558247001, 49.2801415364825]}"
1;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.146024064554, 49.2633996039203]}"
1;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.033448881441, 49.2687189514109]}"
1;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.100920980419, 49.2440787174753]}"
1;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.067781581648, 49.2796063224972]}"
1;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.097582450757, 49.2623856117777]}"
7;Riley Park;"{""type"": ""Point"", ""coordinates"": [-123.090522644854, 49.2483475201822]}"
3;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.070133076669, 49.2819182540576]}"
1;Victoria-Fraserview;"{""type"": ""Point"", ""coordinates"": [-123.065993107562, 49.2311509848465]}"
2;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.117897724969, 49.2818316993831]}"
1;West End;"{""type"": ""Point"", ""coordinates"": [-123.129381418943, 49.2857561954714]}"
1;Kitsilano;"{""type"": ""Point"", ""coordinates"": [-123.16510129657, 49.2685424016725]}"
2;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.029093724314, 49.2808510834409]}"
1;Kensington-Cedar Cottage;"{""type"": ""Point"", ""coordinates"": [-123.064931666639, 49.2523123728606]}"
12;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.102032095753, 49.2626534142981]}"
2;Fairview;"{""type"": ""Point"", ""coordinates"": [-123.143864560437, 49.2677258851758]}"
7;Mount Pleasant;"{""type"": ""Point"", ""coordinates"": [-123.089897858189, 49.2621663725886]}"
9;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.108014499131, 49.2818414955092]}"
1;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.133399023332, 49.2753207976245]}"
3;Downtown;"{""type"": ""Point"", ""coordinates"": [-123.109667400476, 49.2831356847985]}"
1;Hastings-Sunrise;"{""type"": ""Point"", ""coordinates"": [-123.032033037469, 49.2691192880011]}"
1;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.098451306419, 49.2692789235778]}"
2;Strathcona;"{""type"": ""Point"", ""coordinates"": [-123.092973301698, 49.282799241022]}"
3;Grandview-Woodland;"{""type"": ""Point"", ""coordinates"": [-123.070901106553, 49.2629537640851]}"
